 # t (ps)        h(t)        n(t)    
 # t (ps)        h(t)        n(t)    
   3.80000025E-02   1.68518758      0.205262884    
 # t (ps)        h(t)        n(t)    
   3.85000035E-02   1.53208268      0.206004813    
 # t (ps)        h(t)        n(t)    
   3.90000008E-02   1.53374505      0.206747562    
 # t (ps)        h(t)        n(t)    
   3.95000018E-02   1.50090694      0.207474396    
 # t (ps)        h(t)        n(t)    
   4.00000028E-02   1.46799695      0.208185300    
 # t (ps)        h(t)        n(t)    
   4.05000001E-02   1.33127916      0.208829984    
 # t (ps)        h(t)        n(t)    
   4.10000011E-02   1.22888005      0.209425077    
 # t (ps)        h(t)        n(t)    
   4.15000021E-02   1.33418238      0.210071176    
 # t (ps)        h(t)        n(t)    
   4.20000032E-02   1.26625562      0.210684374    
 # t (ps)        h(t)        n(t)    
   4.25000004E-02   1.23290932      0.211281434    
 # t (ps)        h(t)        n(t)    
   4.30000015E-02   1.35594583      0.211938068    
 # t (ps)        h(t)        n(t)    
   4.35000025E-02   1.11378992      0.212477446    
 # t (ps)        h(t)        n(t)    
   4.40000035E-02   1.23696494      0.213076472    
 # t (ps)        h(t)        n(t)    
   4.45000008E-02   1.32552850      0.213718370    
 # t (ps)        h(t)        n(t)    
   4.50000018E-02   1.29206491      0.214344084    
 # t (ps)        h(t)        n(t)    
   4.55000028E-02   1.24104774      0.214945093    
 # t (ps)        h(t)        n(t)    
   4.60000038E-02   1.15492058      0.215504393    
 # t (ps)        h(t)        n(t)    
   4.65000011E-02   1.19122994      0.216081262    
 # t (ps)        h(t)        n(t)    
   4.70000021E-02   1.19254482      0.216658771    
 # t (ps)        h(t)        n(t)    
   4.75000031E-02   1.14119244      0.217211410    
 # t (ps)        h(t)        n(t)    
   4.80000004E-02   1.05457354      0.217722103    
 # t (ps)        h(t)        n(t)    
   4.85000014E-02   1.24929380      0.218327090    
 # t (ps)        h(t)        n(t)    
   4.90000024E-02   1.30352414      0.218958348    
 # t (ps)        h(t)        n(t)    
   4.95000035E-02   1.16389322      0.219521984    
 # t (ps)        h(t)        n(t)    
   5.00000007E-02   1.25345826      0.220128983    
 # t (ps)        h(t)        n(t)    
   5.05000018E-02   1.23717821      0.220728114    
 # t (ps)        h(t)        n(t)    
   5.10000028E-02   1.29163742      0.221353605    
 # t (ps)        h(t)        n(t)    
   5.15000038E-02   1.06280279      0.221868291    
 # t (ps)        h(t)        n(t)    
   5.20000011E-02   1.18812132      0.222443655    
 # t (ps)        h(t)        n(t)    
   5.25000021E-02   1.06517816      0.222959474    
 # t (ps)        h(t)        n(t)    
   5.30000031E-02   1.10191512      0.223493084    
 # t (ps)        h(t)        n(t)    
   5.35000041E-02  0.943014383      0.223949745    
 # t (ps)        h(t)        n(t)    
   5.40000014E-02   1.31813812      0.224588066    
 # t (ps)        h(t)        n(t)    
   5.45000024E-02   1.15912330      0.225149393    
 # t (ps)        h(t)        n(t)    
   5.50000034E-02   1.28539491      0.225771874    
 # t (ps)        h(t)        n(t)    
   5.55000044E-02   1.03662133      0.226273865    
 # t (ps)        h(t)        n(t)    
   5.60000017E-02   1.21671772      0.226863071    
 # t (ps)        h(t)        n(t)    
   5.65000027E-02   1.18226349      0.227435604    
 # t (ps)        h(t)        n(t)    
   5.70000038E-02   1.12979805      0.227982730    
 # t (ps)        h(t)        n(t)    
   5.75000010E-02   1.04130697      0.228486985    
 # t (ps)        h(t)        n(t)    
   5.80000021E-02   1.07843256      0.229009226    
 # t (ps)        h(t)        n(t)    
   5.85000031E-02   1.07965398      0.229532063    
 # t (ps)        h(t)        n(t)    
   5.90000041E-02   1.02683389      0.230029330    
 # t (ps)        h(t)        n(t)    
   5.95000014E-02   1.26245546      0.230640694    
 # t (ps)        h(t)        n(t)    
   6.00000024E-02   1.08333457      0.231165320    
 # t (ps)        h(t)        n(t)    
   6.05000034E-02  0.795349181      0.231550470    
 # t (ps)        h(t)        n(t)    
   6.10000044E-02  0.850544930      0.231962368    
 # t (ps)        h(t)        n(t)    
   6.15000017E-02   1.03268862      0.232462466    
 # t (ps)        h(t)        n(t)    
   6.20000027E-02   1.03386700      0.232963130    
 # t (ps)        h(t)        n(t)    
   6.25000000E-02   1.01688993      0.233455569    
 # t (ps)        h(t)        n(t)    
   6.30000010E-02  0.908976436      0.233895749    
 # t (ps)        h(t)        n(t)    
   6.35000020E-02  0.946418047      0.234354079    
 # t (ps)        h(t)        n(t)    
   6.40000030E-02  0.947503626      0.234812930    
 # t (ps)        h(t)        n(t)    
   6.45000041E-02   1.00331759      0.235298812    
 # t (ps)        h(t)        n(t)    
   6.50000051E-02  0.876629233      0.235723332    
 # t (ps)        h(t)        n(t)    
   6.55000061E-02  0.694796622      0.236059800    
 # t (ps)        h(t)        n(t)    
   6.59999996E-02  0.713902473      0.236405522    
 # t (ps)        h(t)        n(t)    
   6.65000007E-02  0.843009710      0.236813769    
 # t (ps)        h(t)        n(t)    
   6.70000017E-02  0.972415566      0.237284675    
 # t (ps)        h(t)        n(t)    
   6.75000027E-02  0.973539829      0.237756133    
 # t (ps)        h(t)        n(t)    
   6.80000037E-02  0.956276417      0.238219216    
 # t (ps)        h(t)        n(t)    
   6.85000047E-02   1.06785214      0.238736331    
 # t (ps)        h(t)        n(t)    
   6.90000057E-02  0.976927936      0.239209414    
 # t (ps)        h(t)        n(t)    
   6.95000067E-02  0.830430388      0.239611566    
 # t (ps)        h(t)        n(t)    
   7.00000003E-02  0.997675240      0.240094706    
 # t (ps)        h(t)        n(t)    
   7.05000013E-02  0.850860894      0.240506753    
 # t (ps)        h(t)        n(t)    
   7.10000023E-02   1.05555677      0.241017923    
 # t (ps)        h(t)        n(t)    
   7.15000033E-02   1.16802943      0.241583571    
 # t (ps)        h(t)        n(t)    
   7.20000044E-02  0.946652234      0.242041990    
 # t (ps)        h(t)        n(t)    
   7.25000054E-02  0.947759032      0.242500961    
 # t (ps)        h(t)        n(t)    
   7.30000064E-02   1.02328992      0.242996514    
 # t (ps)        h(t)        n(t)    
   7.34999999E-02  0.949981093      0.243456557    
 # t (ps)        h(t)        n(t)    
   7.40000010E-02  0.857851565      0.243871987    
 # t (ps)        h(t)        n(t)    
   7.45000020E-02   1.00822663      0.244360223    
 # t (ps)        h(t)        n(t)    
   7.50000030E-02   1.08418393      0.244885251    
 # t (ps)        h(t)        n(t)    
   7.55000040E-02  0.991886973      0.245365590    
 # t (ps)        h(t)        n(t)    
   7.60000050E-02   1.18042552      0.245937243    
 # t (ps)        h(t)        n(t)    
   7.65000060E-02   1.06926513      0.246455058    
 # t (ps)        h(t)        n(t)    
   7.70000070E-02   1.14565408      0.247009858    
 # t (ps)        h(t)        n(t)    
   7.75000006E-02   1.07179582      0.247528896    
 # t (ps)        h(t)        n(t)    
   7.80000016E-02   1.20484614      0.248112366    
 # t (ps)        h(t)        n(t)    
   7.85000026E-02   1.28166771      0.248733044    
 # t (ps)        h(t)        n(t)    
   7.90000036E-02   1.13222611      0.249281392    
 # t (ps)        h(t)        n(t)    
   7.95000046E-02   1.05800080      0.249793723    
 # t (ps)        h(t)        n(t)    
   8.00000057E-02   1.04034507      0.250297517    
 # t (ps)        h(t)        n(t)    
   8.05000067E-02   1.00370920      0.250783652    
 # t (ps)        h(t)        n(t)    
   8.10000002E-02  0.739459634      0.251141757    
 # t (ps)        h(t)        n(t)    
   8.15000013E-02  0.835259140      0.251546293    
 # t (ps)        h(t)        n(t)    
   8.20000023E-02   1.00731087      0.252034128    
 # t (ps)        h(t)        n(t)    
   8.25000033E-02   1.06560326      0.252550095    
 # t (ps)        h(t)        n(t)    
   8.30000043E-02   1.02877784      0.253048211    
 # t (ps)        h(t)        n(t)    
   8.35000053E-02   1.08723593      0.253574699    
 # t (ps)        h(t)        n(t)    
   8.40000063E-02   1.06944597      0.254092544    
 # t (ps)        h(t)        n(t)    
   8.45000073E-02   1.18545389      0.254666626    
 # t (ps)        h(t)        n(t)    
   8.50000009E-02   1.14859509      0.255222857    
 # t (ps)        h(t)        n(t)    
   8.55000019E-02   1.20748019      0.255807549    
 # t (ps)        h(t)        n(t)    
   8.60000029E-02   1.18974888      0.256383717    
 # t (ps)        h(t)        n(t)    
   8.65000039E-02   1.24882555      0.256988406    
 # t (ps)        h(t)        n(t)    
   8.70000049E-02   1.11568594      0.257528633    
 # t (ps)        h(t)        n(t)    
   8.75000060E-02   1.04000115      0.258032292    
 # t (ps)        h(t)        n(t)    
   8.80000070E-02   1.13767612      0.258583218    
 # t (ps)        h(t)        n(t)    
   8.85000005E-02   1.17767107      0.259153575    
 # t (ps)        h(t)        n(t)    
   8.90000015E-02   1.21776319      0.259743214    
 # t (ps)        h(t)        n(t)    
   8.95000026E-02   1.37407124      0.260408580    
 # t (ps)        h(t)        n(t)    
   9.00000036E-02   1.31761646      0.261046648    
 # t (ps)        h(t)        n(t)    
   9.05000046E-02   1.26102424      0.261657208    
 # t (ps)        h(t)        n(t)    
   9.10000056E-02   1.22371757      0.262249798    
 # t (ps)        h(t)        n(t)    
   9.15000066E-02   1.18631971      0.262824416    
 # t (ps)        h(t)        n(t)    
   9.20000076E-02   1.09041500      0.263352454    
 # t (ps)        h(t)        n(t)    
   9.25000012E-02   1.18923092      0.263928264    
 # t (ps)        h(t)        n(t)    
   9.30000022E-02   1.28828955      0.264552236    
 # t (ps)        h(t)        n(t)    
   9.35000032E-02   1.07489526      0.265072703    
 # t (ps)        h(t)        n(t)    
   9.40000042E-02   1.19362497      0.265650719    
 # t (ps)        h(t)        n(t)    
   9.45000052E-02   1.11672914      0.266191512    
 # t (ps)        h(t)        n(t)    
   9.50000063E-02   1.13772428      0.266742468    
 # t (ps)        h(t)        n(t)    
   9.55000073E-02   1.13913047      0.267294109    
 # t (ps)        h(t)        n(t)    
   9.60000008E-02   1.02255309      0.267789304    
 # t (ps)        h(t)        n(t)    
   9.65000018E-02  0.945065141      0.268246979    
 # t (ps)        h(t)        n(t)    
   9.70000029E-02  0.926524162      0.268695652    
 # t (ps)        h(t)        n(t)    
   9.75000039E-02   1.00662613      0.269183129    
 # t (ps)        h(t)        n(t)    
   9.80000049E-02   1.22526395      0.269776493    
 # t (ps)        h(t)        n(t)    
   9.85000059E-02   1.14764178      0.270332247    
 # t (ps)        h(t)        n(t)    
   9.90000069E-02   1.03020334      0.270831138    
 # t (ps)        h(t)        n(t)    
   9.95000079E-02   1.13067091      0.271378696    
 # t (ps)        h(t)        n(t)    
  0.100000001      0.993056655      0.271859616    
 # t (ps)        h(t)        n(t)    
  0.100500003       1.21304560      0.272447079    
 # t (ps)        h(t)        n(t)    
  0.101000004       1.09510028      0.272977412    
 # t (ps)        h(t)        n(t)    
  0.101500005       1.05660248      0.273489088    
 # t (ps)        h(t)        n(t)    
  0.102000006       1.13777328      0.274040073    
 # t (ps)        h(t)        n(t)    
  0.102500007       1.23913455      0.274640143    
 # t (ps)        h(t)        n(t)    
  0.103000008       1.32074046      0.275279731    
 # t (ps)        h(t)        n(t)    
  0.103500009       1.46266043      0.275988042    
 # t (ps)        h(t)        n(t)    
  0.104000002       1.40432239      0.276668131    
 # t (ps)        h(t)        n(t)    
  0.104500003       1.34583628      0.277319849    
 # t (ps)        h(t)        n(t)    
  0.105000004       1.48832774      0.278040588    
 # t (ps)        h(t)        n(t)    
  0.105500005       1.51035225      0.278772026    
 # t (ps)        h(t)        n(t)    
  0.106000006       1.37112343      0.279436022    
 # t (ps)        h(t)        n(t)    
  0.106500007       1.35267663      0.280091077    
 # t (ps)        h(t)        n(t)    
  0.107000008       1.43525755      0.280786127    
 # t (ps)        h(t)        n(t)    
  0.107500002       1.53828895      0.281531066    
 # t (ps)        h(t)        n(t)    
  0.108000003       1.56051719      0.282286763    
 # t (ps)        h(t)        n(t)    
  0.108500004       1.60309482      0.283063084    
 # t (ps)        h(t)        n(t)    
  0.109000005       1.64578199      0.283860087    
 # t (ps)        h(t)        n(t)    
  0.109500006       1.62754452      0.284648269    
 # t (ps)        h(t)        n(t)    
  0.110000007       1.69074249      0.285467029    
 # t (ps)        h(t)        n(t)    
  0.110500008       1.48894787      0.286188066    
 # t (ps)        h(t)        n(t)    
  0.111000009       1.61339796      0.286969364    
 # t (ps)        h(t)        n(t)    
  0.111500002       1.65637290      0.287771493    
 # t (ps)        h(t)        n(t)    
  0.112000003       1.45375288      0.288475484    
 # t (ps)        h(t)        n(t)    
  0.112500004       1.64014482      0.289269745    
 # t (ps)        h(t)        n(t)    
  0.113000005       1.60120785      0.290045172    
 # t (ps)        h(t)        n(t)    
  0.113500006       1.47994936      0.290761858    
 # t (ps)        h(t)        n(t)    
  0.114000008       1.52302969      0.291499406    
 # t (ps)        h(t)        n(t)    
  0.114500009       1.52500510      0.292237908    
 # t (ps)        h(t)        n(t)    
  0.115000002       1.46508050      0.292947412    
 # t (ps)        h(t)        n(t)    
  0.115500003       1.30169213      0.293577790    
 # t (ps)        h(t)        n(t)    
  0.116000004       1.36545277      0.294239014    
 # t (ps)        h(t)        n(t)    
  0.116500005       1.24293911      0.294840932    
 # t (ps)        h(t)        n(t)    
  0.117000006       1.16159105      0.295403451    
 # t (ps)        h(t)        n(t)    
  0.117500007       1.26695848      0.296016991    
 # t (ps)        h(t)        n(t)    
  0.118000008       1.18542886      0.296591043    
 # t (ps)        h(t)        n(t)    
  0.118500009       1.27027965      0.297206193    
 # t (ps)        h(t)        n(t)    
  0.119000003       1.31365013      0.297842324    
 # t (ps)        h(t)        n(t)    
  0.119500004       1.23185980      0.298438877    
 # t (ps)        h(t)        n(t)    
  0.120000005       1.12894869      0.298985600    
 # t (ps)        h(t)        n(t)    
  0.120500006       1.23510611      0.299583733    
 # t (ps)        h(t)        n(t)    
  0.121000007       1.15288877      0.300142020    
 # t (ps)        h(t)        n(t)    
  0.121500008       1.30133700      0.300772220    
 # t (ps)        h(t)        n(t)    
  0.122000009       1.32407522      0.301413417    
 # t (ps)        h(t)        n(t)    
  0.122500002       1.24164951      0.302014679    
 # t (ps)        h(t)        n(t)    
  0.123000003       1.26436889      0.302626967    
 # t (ps)        h(t)        n(t)    
  0.123500004       1.13944340      0.303178757    
 # t (ps)        h(t)        n(t)    
  0.124000005       1.24660289      0.303782463    
 # t (ps)        h(t)        n(t)    
  0.124500006       1.22710598      0.304376692    
 # t (ps)        h(t)        n(t)    
  0.125000000       1.10163081      0.304910153    
 # t (ps)        h(t)        n(t)    
  0.125500008       1.01824784      0.305403233    
 # t (ps)        h(t)        n(t)    
  0.126000002      0.934641600      0.305855870    
 # t (ps)        h(t)        n(t)    
  0.126500010       1.04224408      0.306360602    
 # t (ps)        h(t)        n(t)    
  0.127000004       1.02234244      0.306855679    
 # t (ps)        h(t)        n(t)    
  0.127500013      0.767785966      0.307227492    
 # t (ps)        h(t)        n(t)    
  0.128000006      0.790174127      0.307610154    
 # t (ps)        h(t)        n(t)    
  0.128500000      0.940931201      0.308065802    
 # t (ps)        h(t)        n(t)    
  0.129000008      0.963612854      0.308532447    
 # t (ps)        h(t)        n(t)    
  0.129500002      0.943470597      0.308989346    
 # t (ps)        h(t)        n(t)    
  0.130000010      0.815916598      0.309384465    
 # t (ps)        h(t)        n(t)    
  0.130500004      0.795520306      0.309769720    
 # t (ps)        h(t)        n(t)    
  0.131000012      0.624360800      0.310072064    
 # t (ps)        h(t)        n(t)    
  0.131500006      0.560531259      0.310343504    
 # t (ps)        h(t)        n(t)    
  0.131999999      0.604469180      0.310636222    
 # t (ps)        h(t)        n(t)    
  0.132500008      0.605291724      0.310929328    
 # t (ps)        h(t)        n(t)    
  0.133000001      0.411293089      0.311128497    
 # t (ps)        h(t)        n(t)    
  0.133500010      0.541913629      0.311390936    
 # t (ps)        h(t)        n(t)    
  0.134000003      0.586066067      0.311674774    
 # t (ps)        h(t)        n(t)    
  0.134500012      0.695547342      0.312011600    
 # t (ps)        h(t)        n(t)    
  0.135000005      0.326484293      0.312169701    
 # t (ps)        h(t)        n(t)    
  0.135500014      0.501296043      0.312412441    
 # t (ps)        h(t)        n(t)    
  0.136000007      0.611111760      0.312708378    
 # t (ps)        h(t)        n(t)    
  0.136500001      0.633807600      0.313015312    
 # t (ps)        h(t)        n(t)    
  0.137000009      0.547138631      0.313280255    
 # t (ps)        h(t)        n(t)    
  0.137500003      0.635556221      0.313588023    
 # t (ps)        h(t)        n(t)    
  0.138000011      0.877839923      0.314013153    
 # t (ps)        h(t)        n(t)    
  0.138500005      0.725219667      0.314364344    
 # t (ps)        h(t)        n(t)    
  0.139000013      0.814251125      0.314758658    
 # t (ps)        h(t)        n(t)    
  0.139500007      0.727231503      0.315110832    
 # t (ps)        h(t)        n(t)    
  0.140000001      0.816513181      0.315506250    
 # t (ps)        h(t)        n(t)    
  0.140500009      0.795550108      0.315891504    
 # t (ps)        h(t)        n(t)    
  0.141000003      0.663881779      0.316213012    
 # t (ps)        h(t)        n(t)    
  0.141500011      0.709128261      0.316556424    
 # t (ps)        h(t)        n(t)    
  0.142000005      0.776692331      0.316932559    
 # t (ps)        h(t)        n(t)    
  0.142500013      0.822222888      0.317330748    
 # t (ps)        h(t)        n(t)    
  0.143000007      0.934641480      0.317783386    
 # t (ps)        h(t)        n(t)    
  0.143500000      0.891383231      0.318215042    
 # t (ps)        h(t)        n(t)    
  0.144000009      0.892634988      0.318647325    
 # t (ps)        h(t)        n(t)    
  0.144500002      0.960932434      0.319112688    
 # t (ps)        h(t)        n(t)    
  0.145000011       1.00704312      0.319600344    
 # t (ps)        h(t)        n(t)    
  0.145500004      0.918822587      0.320045292    
 # t (ps)        h(t)        n(t)    
  0.146000013      0.942561984      0.320501745    
 # t (ps)        h(t)        n(t)    
  0.146500006       1.01131654      0.320991486    
 # t (ps)        h(t)        n(t)    
  0.147000000       1.05775976      0.321503729    
 # t (ps)        h(t)        n(t)    
  0.147500008       1.03672278      0.322005779    
 # t (ps)        h(t)        n(t)    
  0.148000002      0.902778924      0.322442949    
