  24  12  13
  24  12  14
  12  24  25
  12  24  26
  54  12  13
  54  12  14
  12  54  55
  12  54  56
  63  12  13
  63  12  14
  12  63  64
  12  63  65
  66  12  13
  66  12  14
  12  66  67
  12  66  68
  81  12  13
  81  12  14
  12  81  82
  12  81  83
 108  12  13
 108  12  14
  12 108 109
  12 108 110
 111  12  13
 111  12  14
  12 111 112
  12 111 113
 117  12  13
 117  12  14
  12 117 118
  12 117 119
 141  12  13
 141  12  14
  12 141 142
  12 141 143
 159  12  13
 159  12  14
  12 159 160
  12 159 161
 189  12  13
 189  12  14
  12 189 190
  12 189 191
 192  12  13
 192  12  14
  12 192 193
  12 192 194
 207  12  13
 207  12  14
  12 207 208
  12 207 209
 210  12  13
 210  12  14
  12 210 211
  12 210 212
 228  12  13
 228  12  14
  12 228 229
  12 228 230
 234  12  13
 234  12  14
  12 234 235
  12 234 236
 240  12  13
 240  12  14
  12 240 241
  12 240 242
 258  12  13
 258  12  14
  12 258 259
  12 258 260
 297  12  13
 297  12  14
  12 297 298
  12 297 299
 327  12  13
 327  12  14
  12 327 328
  12 327 329
 348  12  13
 348  12  14
  12 348 349
  12 348 350
  21  12  13
  21  12  14
  12  21  22
  12  21  23
  24  12  13
  24  12  14
  12  24  25
  12  24  26
  51  12  13
  51  12  14
  12  51  52
  12  51  53
  54  12  13
  54  12  14
  12  54  55
  12  54  56
  54  12  13
  54  12  14
  12  54  55
  12  54  56
  54  12  13
  54  12  14
  12  54  55
  12  54  56
  60  12  13
  60  12  14
  12  60  61
  12  60  62
  60  12  13
  60  12  14
  12  60  61
  12  60  62
  63  12  13
  63  12  14
  12  63  64
  12  63  65
  63  12  13
  63  12  14
  12  63  64
  12  63  65
  66  12  13
  66  12  14
  12  66  67
  12  66  68
  66  12  13
  66  12  14
  12  66  67
  12  66  68
  69  12  13
  69  12  14
  12  69  70
  12  69  71
  72  12  13
  72  12  14
  12  72  73
  12  72  74
  72  12  13
  72  12  14
  12  72  73
  12  72  74
  75  12  13
  75  12  14
  12  75  76
  12  75  77
  75  12  13
  75  12  14
  12  75  76
  12  75  77
  81  12  13
  81  12  14
  12  81  82
  12  81  83
  96  12  13
  96  12  14
  12  96  97
  12  96  98
  99  12  13
  99  12  14
  12  99 100
  12  99 101
  99  12  13
  99  12  14
  12  99 100
  12  99 101
 102  12  13
 102  12  14
  12 102 103
  12 102 104
 111  12  13
 111  12  14
  12 111 112
  12 111 113
 114  12  13
 114  12  14
  12 114 115
  12 114 116
 117  12  13
 117  12  14
  12 117 118
  12 117 119
 117  12  13
 117  12  14
  12 117 118
  12 117 119
 123  12  13
 123  12  14
  12 123 124
  12 123 125
 132  12  13
 132  12  14
