   2  25 300
   2  25 301
   2  53 356
   2  53 357
   2 104 458
   2 104 459
   2 139 528
   2 139 529
   2 143 536
   2 143 537
   2 152 554
   2 152 555
   2 156 562
   2 156 563
   2 209 668
   2 209 669
   2 219 688
   2 219 689
   2 222 694
   2 222 695
   2 232 714
   2 232 715
   2 234 718
   2 234 719
   2 252 754
   2 252 755
   3  25 300
   3  25 301
   3  53 356
   3  53 357
   3 104 458
   3 104 459
   3 139 528
   3 139 529
   3 143 536
   3 143 537
   3 152 554
   3 152 555
   3 156 562
   3 156 563
   3 209 668
   3 209 669
   3 219 688
   3 219 689
   3 222 694
   3 222 695
   3 232 714
   3 232 715
   3 234 718
   3 234 719
   3 252 754
   3 252 755
   4  25 300
   4  25 301
   4  53 356
   4  53 357
   4 104 458
   4 104 459
   4 139 528
   4 139 529
   4 143 536
   4 143 537
   4 152 554
   4 152 555
   4 156 562
   4 156 563
   4 209 668
   4 209 669
   4 219 688
   4 219 689
   4 222 694
   4 222 695
   4 232 714
   4 232 715
   4 234 718
   4 234 719
   4 252 754
   4 252 755
  53  25 300
  53  25 301
  25  53 356
  25  53 357
 104  25 300
 104  25 301
  25 104 458
  25 104 459
 139  25 300
 139  25 301
  25 139 528
  25 139 529
 143  25 300
 143  25 301
  25 143 536
  25 143 537
 152  25 300
 152  25 301
  25 152 554
  25 152 555
 156  25 300
 156  25 301
  25 156 562
  25 156 563
 209  25 300
 209  25 301
  25 209 668
  25 209 669
 219  25 300
 219  25 301
  25 219 688
  25 219 689
 222  25 300
 222  25 301
  25 222 694
  25 222 695
 232  25 300
 232  25 301
  25 232 714
  25 232 715
 234  25 300
 234  25 301
  25 234 718
  25 234 719
 252  25 300
 252  25 301
  25 252 754
  25 252 755
 104  53 356
 104  53 357
  53 104 458
  53 104 459
 139  53 356
 139  53 357
  53 139 528
  53 139 529
 143  53 356
 143  53 357
  53 143 536
  53 143 537
 152  53 356
 152  53 357
  53 152 554
  53 152 555
 156  53 356
 156  53 357
  53 156 562
  53 156 563
 209  53 356
 209  53 357
  53 209 668
  53 209 669
 219  53 356
 219  53 357
  53 219 688
  53 219 689
 222  53 356
 222  53 357
  53 222 694
  53 222 695
 232  53 356
 232  53 357
  53 232 714
  53 232 715
 234  53 356
 234  53 357
  53 234 718
  53 234 719
 252  53 356
 252  53 357
  53 252 754
  53 252 755
 139 104 458
 139 104 459
 104 139 528
 104 139 529
 143 104 458
 143 104 459
 104 143 536
 104 143 537
 152 104 458
 152 104 459
 104 152 554
 104 152 555
 156 104 458
 156 104 459
 104 156 562
 104 156 563
 209 104 458
 209 104 459
 104 209 668
 104 209 669
 219 104 458
 219 104 459
 104 219 688
 104 219 689
 222 104 458
 222 104 459
 104 222 694
 104 222 695
 232 104 458
 232 104 459
 104 232 714
 104 232 715
 234 104 458
 234 104 459
 104 234 718
 104 234 719
 252 104 458
 252 104 459
 104 252 754
 104 252 755
 143 139 528
 143 139 529
 139 143 536
 139 143 537
 152 139 528
 152 139 529
 139 152 554
 139 152 555
 156 139 528
 156 139 529
 139 156 562
 139 156 563
 209 139 528
 209 139 529
 139 209 668
 139 209 669
 219 139 528
 219 139 529
 139 219 688
 139 219 689
 222 139 528
 222 139 529
 139 222 694
 139 222 695
 232 139 528
 232 139 529
 139 232 714
 139 232 715
 234 139 528
 234 139 529
 139 234 718
 139 234 719
 252 139 528
 252 139 529
 139 252 754
 139 252 755
 152 143 536
 152 143 537
 143 152 554
 143 152 555
 156 143 536
 156 143 537
 143 156 562
 143 156 563
 209 143 536
 209 143 537
 143 209 668
 143 209 669
 219 143 536
 219 143 537
 143 219 688
 143 219 689
 222 143 536
 222 143 537
 143 222 694
 143 222 695
 232 143 536
 232 143 537
 143 232 714
 143 232 715
 234 143 536
 234 143 537
 143 234 718
 143 234 719
 252 143 536
 252 143 537
 143 252 754
 143 252 755
 156 152 554
 156 152 555
 152 156 562
 152 156 563
 209 152 554
 209 152 555
 152 209 668
 152 209 669
 219 152 554
 219 152 555
 152 219 688
 152 219 689
 222 152 554
 222 152 555
 152 222 694
 152 222 695
 232 152 554
 232 152 555
 152 232 714
 152 232 715
 234 152 554
 234 152 555
 152 234 718
 152 234 719
 252 152 554
 252 152 555
 152 252 754
 152 252 755
 209 156 562
 209 156 563
 156 209 668
 156 209 669
 219 156 562
 219 156 563
 156 219 688
 156 219 689
 222 156 562
 222 156 563
 156 222 694
 156 222 695
 232 156 562
 232 156 563
 156 232 714
 156 232 715
 234 156 562
 234 156 563
 156 234 718
 156 234 719
 252 156 562
 252 156 563
 156 252 754
 156 252 755
 219 209 668
 219 209 669
 209 219 688
 209 219 689
 222 209 668
 222 209 669
 209 222 694
 209 222 695
 232 209 668
 232 209 669
 209 232 714
 209 232 715
 234 209 668
 234 209 669
 209 234 718
 209 234 719
 252 209 668
 252 209 669
 209 252 754
 209 252 755
 222 219 688
 222 219 689
 219 222 694
 219 222 695
 232 219 688
 232 219 689
 219 232 714
 219 232 715
 234 219 688
 234 219 689
 219 234 718
 219 234 719
 252 219 688
 252 219 689
 219 252 754
 219 252 755
 232 222 694
 232 222 695
 222 232 714
 222 232 715
 234 222 694
 234 222 695
 222 234 718
 222 234 719
 252 222 694
 252 222 695
 222 252 754
 222 252 755
 234 232 714
 234 232 715
 232 234 718
 232 234 719
 252 232 714
 252 232 715
 232 252 754
 232 252 755
 252 234 718
 252 234 719
 234 252 754
 234 252 755
