  16   4   5
   4  16  17
   4  16  18
  19   4   5
   4  19  20
   4  19  21
  22   4   5
   4  22  23
   4  22  24
  25   4   5
   4  25  26
   4  25  27
  28   4   5
   4  28  29
   4  28  30
  31   4   5
   4  31  32
   4  31  33
  43   4   5
   4  43  44
  49   4   5
  79   4   5
   4  79  80
   4  79  81
  82   4   5
   4  82  83
   4  82  84
  91   4   5
   4  91  92
   4  91  93
 124   4   5
   4 124 125
 133   4   5
   4 133 134
   4 133 135
 136   4   5
   4 136 137
   4 136 138
 139   4   5
   4 139 140
   4 139 141
 145   4   5
   4 145 146
   4 145 147
 160   4   5
   4 160 161
   4 160 162
 166   4   5
   4 166 167
   4 166 168
 169   4   5
   4 169 170
   4 169 171
 172   4   5
   4 172 173
   4 172 174
 175   4   5
   4 175 176
   4 175 177
 178   4   5
   4 178 179
   4 178 180
 187   4   5
   4 187 188
   4 187 189
 190   4   5
   4 190 191
   4 190 192
 211   4   5
   4 211 212
   4 211 213
 214   4   5
   4 214 215
   4 214 216
 226   4   5
   4 226 227
 238   4   5
   4 238 239
   4 238 240
 244   4   5
   4 244 245
   4 244 246
 268   4   5
   4 268 269
 277   4   5
   4 277 278
   4 277 279
 280   4   5
   4 280 281
   4 280 282
 286   4   5
   4 286 288
 289   4   5
   4 289 290
   4 289 291
 292   4   5
   4 292 293
   4 292 294
 304   4   5
   4 304 305
   4 304 306
 316   4   5
   4 316 317
 331   4   5
   4 331 332
   4 331 333
 334   4   5
   4 334 335
   4 334 336
 340   4   5
   4 340 341
   4 340 342
 358   4   5
   4 358 359
   4 358 360
  19  16  17
  19  16  18
  16  19  20
  16  19  21
  22  16  17
  22  16  18
  16  22  23
  16  22  24
  25  16  17
  25  16  18
  16  25  26
  16  25  27
  28  16  17
  28  16  18
  16  28  29
  16  28  30
  31  16  17
  31  16  18
  16  31  32
  16  31  33
  43  16  17
  43  16  18
  16  43  44
  49  16  17
  49  16  18
  79  16  17
  79  16  18
  16  79  80
  16  79  81
  82  16  17
  82  16  18
  16  82  83
  16  82  84
  91  16  17
  91  16  18
  16  91  92
  16  91  93
 124  16  17
 124  16  18
  16 124 125
 133  16  17
 133  16  18
  16 133 134
  16 133 135
 136  16  17
 136  16  18
  16 136 137
  16 136 138
 139  16  17
 139  16  18
  16 139 140
  16 139 141
 145  16  17
 145  16  18
  16 145 146
  16 145 147
 160  16  17
 160  16  18
  16 160 161
  16 160 162
 166  16  17
 166  16  18
  16 166 167
  16 166 168
 169  16  17
 169  16  18
  16 169 170
  16 169 171
 172  16  17
 172  16  18
  16 172 173
  16 172 174
 175  16  17
 175  16  18
  16 175 176
  16 175 177
 178  16  17
 178  16  18
  16 178 179
  16 178 180
 187  16  17
 187  16  18
  16 187 188
  16 187 189
 190  16  17
 190  16  18
  16 190 191
  16 190 192
 211  16  17
 211  16  18
  16 211 212
  16 211 213
 214  16  17
 214  16  18
  16 214 215
  16 214 216
 226  16  17
 226  16  18
  16 226 227
