         139         117         484
         139         117         485
         117         139         528
         117         139         529
         156         117         484
         156         117         485
         117         156         562
         117         156         563
         159         117         484
         159         117         485
         117         159         568
         117         159         569
         162         117         484
         162         117         485
         117         162         574
         117         162         575
         209         117         484
         209         117         485
         117         209         668
         117         209         669
         235         117         484
         235         117         485
         117         235         720
         117         235         721
         156         139         528
         156         139         529
         139         156         562
         139         156         563
         159         139         528
         159         139         529
         139         159         568
         139         159         569
         162         139         528
         162         139         529
         139         162         574
         139         162         575
         209         139         528
         209         139         529
         139         209         668
         139         209         669
         235         139         528
         235         139         529
         139         235         720
         139         235         721
         159         156         562
         159         156         563
         156         159         568
         156         159         569
         162         156         562
         162         156         563
         156         162         574
         156         162         575
         209         156         562
         209         156         563
         156         209         668
         156         209         669
         235         156         562
         235         156         563
         156         235         720
         156         235         721
         162         159         568
         162         159         569
         159         162         574
         159         162         575
         209         159         568
         209         159         569
         159         209         668
         159         209         669
         235         159         568
         235         159         569
         159         235         720
         159         235         721
         209         162         574
         209         162         575
         162         209         668
         162         209         669
         235         162         574
         235         162         575
         162         235         720
         162         235         721
         235         209         668
         235         209         669
         209         235         720
         209         235         721
