  26  17  18
  26  17  19
  17  26  27
  17  26  28
  29  17  18
  29  17  19
  17  29  30
  17  29  31
  32  17  18
  32  17  19
  17  32  33
  17  32  34
  38  17  18
  38  17  19
  17  38  39
  17  38  40
  41  17  18
  41  17  19
  17  41  42
  17  41  43
  44  17  18
  44  17  19
  17  44  45
  17  44  46
  47  17  18
  47  17  19
  17  47  48
  17  47  49
  56  17  18
  56  17  19
  17  56  57
  17  56  58
  80  17  18
  80  17  19
  17  80  81
  17  80  82
  83  17  18
  83  17  19
  17  83  84
  17  83  85
 101  17  18
 101  17  19
  17 101 102
  17 101 103
 104  17  18
 104  17  19
  17 104 105
  17 104 106
 110  17  18
 110  17  19
  17 110 111
  17 110 112
 140  17  18
 140  17  19
  17 140 141
  17 140 142
 149  17  18
 149  17  19
  17 149 150
  17 149 151
 152  17  18
 152  17  19
  17 152 153
  17 152 154
 155  17  18
 155  17  19
  17 155 156
  17 155 157
 173  17  18
 173  17  19
  17 173 174
  17 173 175
 182  17  18
 182  17  19
  17 182 183
  17 182 184
 191  17  18
 191  17  19
  17 191 192
  17 191 193
 203  17  18
 203  17  19
  17 203 204
  17 203 205
 206  17  18
 206  17  19
  17 206 207
  17 206 208
 209  17  18
 209  17  19
  17 209 210
  17 209 211
 239  17  18
 239  17  19
  17 239 240
  17 239 241
 266  17  18
 266  17  19
  17 266 267
  17 266 268
 278  17  18
 278  17  19
  17 278 279
  17 278 280
 284  17  18
 284  17  19
  17 284 285
  17 284 286
 305  17  18
 305  17  19
  17 305 306
  17 305 307
 311  17  18
 311  17  19
  17 311 312
  17 311 313
 314  17  18
 314  17  19
  17 314 315
  17 314 316
 320  17  18
 320  17  19
  17 320 321
  17 320 322
 323  17  18
 323  17  19
  17 323 324
  17 323 325
 326  17  18
 326  17  19
  17 326 327
  17 326 328
 329  17  18
 329  17  19
  17 329 330
  17 329 331
 338  17  18
 338  17  19
  17 338 339
  17 338 340
 341  17  18
 341  17  19
  17 341 342
  17 341 343
 350  17  18
 350  17  19
  17 350 351
  17 350 352
 353  17  18
 353  17  19
  17 353 354
  17 353 355
 356  17  18
 356  17  19
  17 356 357
  17 356 358
 359  17  18
 359  17  19
  17 359 360
  17 359 361
 365  17  18
 365  17  19
  17 365 366
  17 365 367
  29  26  27
  29  26  28
  26  29  30
  26  29  31
  32  26  27
  32  26  28
  26  32  33
  26  32  34
  38  26  27
  38  26  28
  26  38  39
  26  38  40
  41  26  27
  41  26  28
  26  41  42
