0.00000000 0.999499202  0.00000000  0.999499
1.00000007E-02 0.917920530  8.11619461E-02 0.999082
2.00000014E-02 0.880740345  0.117940634  0.998681
3.00000012E-02 0.860195994  0.138062313  0.998258
4.00000028E-02 0.850963533  0.146858886  0.997822
5.00000045E-02 0.844169855  0.153208271  0.997378
6.00000024E-02 0.839891136  0.157052666  0.996944
7.00000077E-02 0.834131718  0.162419483  0.996551
8.00000057E-02 0.828622758  0.167529315  0.996152
9.00000036E-02 0.821774662  0.174022198  0.995797
0.100000009 0.816396296  0.178989857  0.995386
0.110000007 0.810125232  0.184838310  0.994964
0.120000005 0.806434393  0.188129410  0.994564
0.130000010 0.803298831  0.190876082  0.994175
0.140000015 0.801099598  0.192660794  0.99376
0.150000006 0.798029423  0.195335209  0.993365
0.160000011 0.795470893  0.197519287  0.99299
0.170000017 0.792030513  0.200594664  0.992625
0.180000007 0.789482832  0.202794164  0.992277
0.190000013 0.786260188  0.205710500  0.991971
0.200000018 0.783723474  0.207882002  0.991605
0.210000008 0.781741977  0.209461346  0.991203
0.220000014 0.779771388  0.211053312  0.990825
0.230000019 0.777702749  0.212768197  0.990471
0.240000010 0.775677741  0.214440525  0.990118
0.250000030 0.773456752  0.216335312  0.989792
0.260000020 0.770767570  0.218672991  0.989441
0.270000011 0.768263459  0.220825568  0.989089
0.280000031 0.766456187  0.222306773  0.988763
0.290000021 0.764648855  0.223833427  0.988482
0.300000012 0.762438774  0.225715771  0.988155
0.310000032 0.759825826  0.228020191  0.987846
0.320000023 0.757604778  0.229873270  0.987478
0.330000013 0.756548703  0.230532303  0.987081
0.340000033 0.755122483  0.231546640  0.986669
0.350000024 0.753892243  0.232318386  0.986211
0.360000014 0.751213908  0.234676182  0.98589
0.370000035 0.750103414  0.235450000  0.985553
0.380000025 0.747828007  0.237445742  0.985274
0.390000015 0.746684790  0.238266408  0.984951
0.400000036 0.745552540  0.239076838  0.984629
0.410000026 0.744529128  0.239754558  0.984284
0.420000017 0.742710948  0.241222680  0.983934
0.430000037 0.741709292  0.241857782  0.983567
0.440000027 0.740479052  0.242760420  0.983239
0.450000018 0.738965690  0.243954048  0.98292
0.460000038 0.737256408  0.245338112  0.982595
0.470000029 0.735743046  0.246500686  0.982244
0.480000019 0.734120846  0.247820303  0.981941
0.490000039 0.732781708  0.248829067  0.981611
0.500000060 0.731671214  0.249671444  0.981343
0.510000050 0.730484486  0.250603765  0.981088
0.520000041 0.729940116  0.250810921  0.980751
0.530000031 0.728263497  0.252147496  0.980411
0.540000021 0.726728380  0.253340214  0.980069
0.550000012 0.725802958  0.253918111  0.979721
0.560000062 0.724779546  0.254608780  0.979388
0.570000052 0.724093616  0.254941463  0.979035
0.580000043 0.723396838  0.255274743  0.978672
0.590000033 0.722068608  0.256247401  0.978316
0.600000024 0.720163286  0.257794052  0.977957
0.610000014 0.718813300  0.258814126  0.977627
0.620000064 0.717876971  0.259430438  0.977307
0.630000055 0.716722906  0.260284126  0.977007
0.640000045 0.715307593  0.261385679  0.976693
0.650000036 0.714229703  0.262117267  0.976347
0.660000026 0.713369608  0.262635410  0.976005
0.670000076 0.712128460  0.263571173  0.9757
0.680000067 0.710876405  0.264519066  0.975395
0.690000057 0.710005462  0.265129685  0.975135
0.700000048 0.709297776  0.265583038  0.974881
0.710000038 0.708187282  0.266420633  0.974608
0.720000029 0.706826329  0.267541319  0.974368
0.730000079 0.705421865  0.268629313  0.974051
0.740000069 0.703810573  0.269955784  0.973766
0.750000060 0.702046812  0.271374226  0.973421
0.760000050 0.701230288  0.271911651  0.973142
0.770000041 0.699934661  0.272947371  0.972882
0.780000031 0.699608028  0.272964835  0.972573
0.790000081 0.699139893  0.273084134  0.972224
0.800000072 0.697822511  0.274133742  0.971956
0.810000062 0.696396291  0.275252432  0.971649
0.820000052 0.694991827  0.276372254  0.971364
0.830000043 0.693718016  0.277334422  0.971052
0.840000033 0.692803502  0.277944863  0.970748
0.850000083 0.691497028  0.278977066  0.970474
0.860000074 0.690702260  0.279521018  0.970223
0.870000064 0.689090908  0.280885041  0.969976
0.880000055 0.687697351  0.282034039  0.969731
0.890000045 0.686194897  0.283275455  0.96947
