0.00000000 0.999473095  0.00000000  0.999473
1.00000007E-02 0.932305574  6.67056441E-02 0.999011
2.00000014E-02 0.903537512  9.49557796E-02 0.998493
3.00000012E-02 0.889279962  0.108722903  0.998003
4.00000028E-02 0.883336663  0.114162408  0.997499
5.00000045E-02 0.879374504  0.117589593  0.996964
6.00000024E-02 0.876444995  0.119994938  0.99644
7.00000077E-02 0.871155024  0.124760948  0.995916
8.00000057E-02 0.865928352  0.129457653  0.995386
9.00000036E-02 0.860511899  0.134360209  0.994872
0.100000009 0.856602430  0.137753218  0.994356
0.110000007 0.853124976  0.140747041  0.993872
0.120000005 0.849921465  0.143489316  0.993411
0.130000010 0.847497821  0.145438865  0.992937
0.140000015 0.845706403  0.146732509  0.992439
0.150000006 0.843114138  0.148866042  0.99198
0.160000011 0.841596663  0.149907887  0.991505
0.170000017 0.838709354  0.152342930  0.991052
0.180000007 0.836707175  0.153897822  0.990605
0.190000013 0.835115969  0.155039445  0.990155
0.200000018 0.834357262  0.155330583  0.989688
0.210000008 0.832481503  0.156740263  0.989222
0.220000014 0.830563664  0.158204615  0.988768
0.230000019 0.827918708  0.160416752  0.988335
0.240000010 0.826348543  0.161564469  0.987913
0.250000030 0.824514985  0.162980199  0.987495
0.260000020 0.823145092  0.163906202  0.987051
0.270000011 0.821764648  0.164854556  0.986619
0.280000031 0.820837319  0.165344238  0.986182
0.290000021 0.819119692  0.166657716  0.985777
0.300000012 0.817391515  0.167994082  0.985386
0.310000032 0.816084802  0.168903589  0.984988
0.320000023 0.814630628  0.169921175  0.984552
0.330000013 0.813734889  0.170371771  0.984107
0.340000033 0.812691629  0.170962259  0.983654
0.350000024 0.811490357  0.171778709  0.983269
0.360000014 0.810889721  0.171941251  0.982831
0.370000035 0.809709489  0.172694445  0.982404
0.380000025 0.808244705  0.173749313  0.981994
0.390000015 0.806832671  0.174729854  0.981563
0.400000036 0.805747271  0.175388902  0.981136
0.410000026 0.804819942  0.175887257  0.980707
0.420000017 0.803534329  0.176741332  0.980276
0.430000037 0.802206576  0.177607045  0.979814
0.440000027 0.800910473  0.178473577  0.979384
0.450000018 0.799645960  0.179330289  0.978976
0.460000038 0.798339248  0.180241823  0.978581
0.470000029 0.797053635  0.181143448  0.978197
0.480000019 0.796052575  0.181732833  0.977785
0.490000039 0.794998765  0.182366163  0.977365
0.500000060 0.794229507  0.182665035  0.976895
0.510000050 0.792880714  0.183515668  0.976396
0.520000041 0.791742623  0.184161633  0.975904
0.530000031 0.790288389  0.185154662  0.975443
0.540000021 0.789614022  0.185369015  0.974983
0.550000012 0.789118707  0.185410112  0.974529
0.560000062 0.788254619  0.185863271  0.974118
0.570000052 0.787011206  0.186728999  0.97374
0.580000043 0.785894156  0.187443852  0.973338
0.590000033 0.784598053  0.188332930  0.972931
0.600000024 0.783301890  0.189266503  0.972568
0.610000014 0.782174349  0.189994618  0.972169
0.620000064 0.781426191  0.190331891  0.971758
0.630000055 0.780393481  0.190963253  0.971357
0.640000045 0.778728545  0.192226663  0.970955
0.650000036 0.777421832  0.193142995  0.970565
0.660000026 0.777105689  0.193035692  0.970141
0.670000076 0.776810646  0.192884922  0.969696
0.680000067 0.775725245  0.193551898  0.969277
0.690000057 0.774829566  0.194012284  0.968842
0.700000048 0.773596644  0.194855437  0.968452
0.710000038 0.772932768  0.195087537  0.96802
0.720000029 0.772174060  0.195407391  0.967581
0.730000079 0.771520674  0.195629060  0.96715
0.740000069 0.770266712  0.196485698  0.966752
0.750000060 0.769550145  0.196828559  0.966379
0.760000050 0.768696606  0.197314367  0.966011
0.770000041 0.768580675  0.197044313  0.965625
0.780000031 0.767126441  0.198133677  0.96526
0.790000081 0.766009450  0.198840246  0.96485
0.800000072 0.764955699  0.199492663  0.964448
0.810000062 0.764323413  0.199717432  0.964041
0.820000052 0.762890279  0.200755522  0.963646
0.830000043 0.762626827  0.200596437  0.963223
0.840000033 0.761562526  0.201284170  0.962847
0.850000083 0.760529816  0.201961488  0.962491
0.860000074 0.759549856  0.202551514  0.962101
0.870000064 0.758232594  0.203483626  0.961716
0.880000055 0.757589817  0.203744382  0.961334
0.890000045 0.756936491  0.203994349  0.960931
0.900000036 0.755924821  0.204619825  0.960545
0.910000086 0.755282044  0.204870492  0.960153
0.920000076 0.754375815  0.205397531  0.959773
0.930000067 0.753490627  0.205925256  0.959416
0.940000057 0.752605438  0.206453517  0.959059
0.950000048 0.751140714  0.207612887  0.958754
0.960000038 0.750729740  0.207677618  0.958407
0.970000088 0.750455737  0.207576364  0.958032
0.980000079 0.749781370  0.207851768  0.957633
0.990000069 0.748801351  0.208493188  0.957295
1.00000012 0.747536778  0.209401652  0.956938
1.01000011 0.746546268  0.209977910  0.956524
1.02000010 0.745745361  0.210421756  0.956167
1.03000009 0.744765401  0.211043790  0.955809
1.04000008 0.744227946  0.211210594  0.955439
1.05000007 0.743205786  0.211889312  0.955095
1.06000006 0.741772652  0.212980464  0.954753
1.07000005 0.740666211  0.213727489  0.954394
1.08000004 0.740191996  0.213851541  0.954044
1.09000003 0.739728332  0.213942409  0.953671
1.10000002 0.738927484  0.214434654  0.953362
1.11000013 0.738021195  0.214983359  0.953005
1.12000012 0.736746132  0.215934455  0.952681
1.13000011 0.736999035  0.215188831  0.952188
1.14000010 0.736145496  0.215615928  0.951761
1.15000010 0.735344648  0.216032133  0.951377
1.16000009 0.734385729  0.216616571  0.951002
1.17000008 0.733637512  0.216944277  0.950582
1.18000007 0.732488930  0.217686743  0.950176
1.19000006 0.731951475  0.217847213  0.949799
